id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,_source_file,motif_rejet
2022-1664088,2022-09-14,000001,Vente,,9,,RUE DE MARIGNAN,6086,75008,75108,Paris 8e Arrondissement,75,,,75108000AQ0030,,,1018,,1059,,,,,,,,2,2,Appartement,198,6,,,,,,2.305663,48.868233,dvf_2022_75.csv,valeur_fonciere nulle ou absente
2022-1647938,2022-04-19,000001,Vente,,29,,RUE DE ROME,8339,75008,75108,Paris 8e Arrondissement,75,,,75108000BV0008,,,,,,,,,,,,,0,2,Appartement,156,5,S,sols,,,607,2.322854,48.876693,dvf_2022_75.csv,valeur_fonciere nulle ou absente
2022-1671153,2022-04-19,000001,Vente,,47,,BD SAINT JACQUES,8645,75014,75114,Paris 14e Arrondissement,75,,,75114000BP0040,,,,,,,,,,,,,0,2,Appartement,149,3,S,sols,,,1302,2.33674,48.832399,dvf_2022_75.csv,valeur_fonciere nulle ou absente
2023-1348488,2023-05-16,000001,Vente,,34,,ALL VIVALDI,9891,75012,75112,Paris 12e Arrondissement,75,,,75112000CC0067,,,,,,,,,,,,,0,2,Appartement,138,6,S,sols,,,850,2.390231,48.841966,dvf_2023_75.csv,valeur_fonciere nulle ou absente
2022-1647961,2022-04-19,000001,Vente,,158,,RUE PELLEPORT,7228,75020,75120,Paris 20e Arrondissement,75,,,75120000AS0223,,,,,,,,,,,,,0,2,Appartement,119,5,S,sols,,,2953,2.398448,48.872815,dvf_2022_75.csv,valeur_fonciere nulle ou absente
2022-1685314,2022-11-04,000001,Vente,,11,B,RUE BOIS DE BOULOGNE,1065,75016,75116,Paris 16e Arrondissement,75,,,75116000FA0042,,,16,,9,,,,,,,,2,2,Appartement,115,3,,,,,,2.286528,48.875074,dvf_2022_75.csv,valeur_fonciere nulle ou absente
2023-1346569,2023-03-21,000001,Vente,,8,,RUE POPINCOURT,7626,75011,75111,Paris 11e Arrondissement,75,,,75111000BK0114,,,7,119.51,,,,,,,,,1,2,Appartement,114,3,,,,,,2.377987,48.857345,dvf_2023_75.csv,valeur_fonciere nulle ou absente
2022-1647965,2022-04-19,000001,Vente,,117,,RUE DE LA REUNION,8180,75020,75120,Paris 20e Arrondissement,75,,,75120000CT0031,,,,,,,,,,,,,0,2,Appartement,108,6,S,sols,,,788,2.398776,48.857816,dvf_2022_75.csv,valeur_fonciere nulle ou absente
2022-1647949,2022-04-19,000001,Vente,,10,,RUE TRISTAN TZARA,9450,75018,75118,Paris 18e Arrondissement,75,,,75118000CW0067,,,,,,,,,,,,,0,2,Appartement,101,5,S,sols,,,1921,2.365328,48.89532,dvf_2022_75.csv,valeur_fonciere nulle ou absente
2023-1358080,2023-10-27,000001,Vente,,74,,RUE DE LA TOUR,9362,75016,75116,Paris 16e Arrondissement,75,,,75116000DK0023,,,119,,20,,,,,,,,2,2,Appartement,100,5,,,,,,2.28006,48.861225,dvf_2023_75.csv,valeur_fonciere nulle ou absente
